piece,square_index,square_name,count
R,15,h2,25176
R,16,a3,24240
R,17,b3,24788
R,18,c3,30208
R,19,d3,44290
R,20,e3,52400
R,21,f3,58739
R,22,g3,38157
R,23,h3,27276
R,24,a4,21492
R,25,b4,17748
R,26,c4,22074
R,27,d4,34246
R,28,e4,37434
R,29,f4,33390
R,30,g4,22803
R,31,h4,20023
R,32,a5,24936
R,33,b5,22516
R,34,c5,27241
R,35,d5,31582
R,36,e5,37115
R,37,f5,26060
R,38,g5,18715
R,39,h5,19390
R,40,a6,31725
R,41,b6,25790
R,42,c6,29363
R,43,d6,35386
R,44,e6,30355
R,45,f6,23972
R,46,g6,17049
R,47,h6,21501
R,48,a7,52262
R,49,b7,48978
R,50,c7,47281
R,51,d7,45482
R,52,e7,40598
R,53,f7,34065
R,54,g7,26688
R,55,h7,30666
R,56,a8,22303
R,57,b8,17041
R,58,c8,19123
R,59,d8,25003
R,60,e8,22423
R,61,f8,15692
R,62,g8,11452
R,63,h8,14972
r,0,a1,22308
r,1,b1,18417
r,2,c1,18907
r,3,d1,24511
r,4,e1,21746
r,5,f1,14897
r,6,g1,10623
r,7,h1,14507
r,8,a2,51894
r,9,b2,50238
r,10,c2,47074
r,11,d2,41806
r,12,e2,37856
r,13,f2,31671
r,14,g2,25742
r,15,h2,27126
r,16,a3,31317
r,17,b3,26250
r,18,c3,31118
r,19,d3,32580
r,20,e3,25656
r,21,f3,24423
r,22,g3,16844
r,23,h3,21388
r,24,a4,24482
r,25,b4,24402
r,26,c4,30410
r,27,d4,32067
r,28,e4,31273
r,29,f4,27361
r,30,g4,19843
r,31,h4,19581
r,32,a5,20906
r,33,b5,18354
r,34,c5,24925
r,35,d5,33639
r,36,e5,31857
r,37,f5,33280
r,38,g5,20666
r,39,h5,19533
r,40,a6,23786
r,41,b6,23292
r,42,c6,28018
r,43,d6,38079
r,44,e6,41262
r,45,f6,49398
r,46,g6,34026
r,47,h6,23565
r,48,a7,37896
r,49,b7,29952
r,50,c7,43107
r,51,d7,67020
r,52,e7,63015
r,53,f7,76931
r,54,g7,32321
r,55,h7,28681
r,56,a8,4536856
r,57,b8,261163
r,58,c8,324134
r,59,d8,611712
r,60,e8,532359
r,61,f8,1671713
r,62,g8,160983
r,63,h8,3311822
B,0,a1,12003
B,1,b1,20738
B,2,c1,2468370
B,3,d1,22778
B,4,e1,17816
B,5,f1,1577535
B,6,g1,4200
B,7,h1,5137
B,8,a2,57315
B,9,b2,343679
B,10,c2,96023
B,11,d2,292022
B,12,e2,449681
B,13,f2,34241
B,14,g2,407323
B,15,h2,21869
B,16,a3,62588
B,17,b3,193637
B,18,c3,98383
B,19,d3,514812
B,20,e3,419253
B,21,f3,129114
B,22,g3,105352
B,23,h3,37739
B,24,a4,40790
B,25,b4,33881
B,26,c4,536126
